UID	row_clusters-flat	disp	mean_d50.0	std_d50.0	min_d50.0	max_d50.0	mean_d60.0	std_d60.0	min_d60.0	max_d60.0	convex hull area	norm convex hull area	corrected straightness index	diffusion coefficient	direction	effective space length	effective speed	entropy1	entropy2	entropy3	entropy4	entropy5	entropy6	entropy7	entropy8	entropy9	entropy10	largest move	mean instantaneous acceleration	mean instantaneous speed	stdev instantaneous speed	mean squared displacement	movement type	persistence1	stdev persistence1	persistence2	persistence3	persistence4	persistence5	RSS window 6	RSS window 8	RSS window 10	signed turning angle1	signed turning angle2	signed turning angle3	signed turning angle4	signed turning angle5	sinuosity	time length	total space length	turning angle1	turning angle2	turning angle3	turning angle4	turning angle5	app
column_clusters-flat		1	2	3	4	5	6	7	8	11	9	10	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
signed turning angle5	1	-0.340554602995	0.333025130216	0.290855957515	0.198901304429	0.407162740321	0.355945562151	0.271481173907	0.251193213344	0.389437495524	0.0103582303751	0.0115656317374	0.122441232287	0.0228947957003	-0.00279999463173	0.148759143413	0.00246998896843	0.0706444581985	0.0841281181138	0.128691670084	0.127297930156	0.137716624211	0.144643801661	0.14377694305	0.134251674994	0.129023387749	0.115670219002	0.0268466944893	-0.147061317421	0.00603896092544	-0.00975995158525	0.00874311904969	nan	0.0983546034763	0.0456917312375	0.041698563826	0.018228176368	0.0229879268258	0.0157827574661	-0.144247765134	-0.135685643155	-0.130461326478	-0.0153412850457	0.00690212453441	0.00304108053209	0.00405675871302	-0.000580962735553	0.244045684799	0.280675844221	0.198793575623	0.0647564260556	0.19154970472	0.252065486097	0.277497059814	0.300654776025	1.0
signed turning angle4	2	-0.115890451053	0.058203379065	0.192051784642	-0.0693250477592	0.191049528838	0.0898816423482	0.185877711665	-0.0207211135346	0.185745706612	0.00652330698266	0.000817080002575	-0.177391815061	-0.0676149017672	0.00212446079808	0.00134646276892	-0.420384831261	0.0040158948951	0.0125486439388	0.0272517654351	0.0288604216387	0.0311435066343	0.0290441184315	0.0210971255795	0.00973811346187	-0.000660996358533	-0.0120902721085	0.0664709416369	-0.407169572617	-0.132808062938	-0.0643288616155	-0.111745158516	nan	-0.179506692435	0.256382558638	-0.191409930361	-0.219811220835	-0.202658664711	-0.676278780145	-0.274595386559	-0.282453480593	-0.297098744171	-0.00979311906811	-0.0035435483313	-0.00649640857945	-0.00556563734125	-0.00158067463566	0.495991547962	0.563975521216	0.394681549796	0.261184093594	0.391505968634	0.523147656074	0.59494321564	1.0	0.300654776025
signed turning angle3	3	-0.102448162251	0.0731417814116	0.161608606904	-0.0370230577198	0.176654083037	0.0995453082021	0.149280609599	0.00771206790928	0.170057333467	0.00482396709535	-0.000525239438728	-0.236567398853	-0.0526820286483	0.000519171188642	-0.0609928778706	-0.414815063214	-0.0243993594277	-0.0243557670575	-0.0154438686563	-0.0191634710058	-0.0215775116586	-0.0257088873756	-0.0360874733599	-0.0472283613768	-0.0565703200997	-0.0667316852657	0.0519630957676	-0.338259900269	-0.109601117007	-0.0556123840524	-0.0955152810911	nan	-0.223766956047	0.261037908096	-0.275779030697	-0.249742986988	-0.777550175863	-0.222814081298	-0.202245305486	-0.204972551035	-0.223561194451	-0.0113201505537	-0.00492311407868	-0.00911749599106	-0.0062333725802	-0.00654740193825	0.407995598587	0.463909838288	0.326249311085	0.310004089823	0.454861624694	0.510760793713	1.0	0.59494321564	0.277497059814
signed turning angle2	4	-0.0826575697213	0.0937822515923	0.124710364535	0.00460597714714	0.160991069525	0.111130035567	0.111819534733	0.0444775557569	0.154588977257	0.00167740744697	-0.00373296091403	-0.28883845933	-0.0405640159765	0.00499331646232	-0.131618656738	-0.39334810863	-0.0693289604927	-0.0777047645364	-0.0766781769667	-0.08460070086	-0.0900241142139	-0.096186867117	-0.107475471933	-0.117113358185	-0.125755513542	-0.131991636341	0.0329060695636	-0.252505127835	-0.0873435585496	-0.0470554318988	-0.0757224054281	nan	-0.294007950723	0.258767231254	-0.295989653353	-0.861375909621	-0.268133460273	-0.255372777436	-0.104088421671	-0.111958699619	-0.135766195478	-0.0109836992043	-0.00897481261328	-0.00552393165265	-0.00770357178772	-0.00515002079802	0.303933599279	0.337741454649	0.232640062295	0.382861829172	0.4508689951	1.0	0.510760793713	0.523147656074	0.252065486097
signed turning angle1	5	-0.0529885127996	0.0881523039914	0.0714399538463	0.0341741788246	0.118738519089	0.102741216286	0.0516800437704	0.0669991004139	0.114544896318	-0.00103108989577	-0.00671147643925	-0.324812140143	-0.0605262190212	0.00506023387203	-0.206121663865	-0.373496955318	-0.147093179631	-0.163060124789	-0.167777846836	-0.178532340503	-0.186994837102	-0.193687273338	-0.204663686171	-0.210524586031	-0.213482318393	-0.213201321926	-0.00682307860674	-0.171933267367	-0.0944156973348	-0.0611036019175	-0.0810925590088	nan	-0.337988962073	0.310982142358	-0.916102238364	-0.30950923018	-0.304362576903	-0.217798584911	0.0211680786716	-0.00336724053615	-0.0413891775884	-0.013378097324	0.000680508627376	-0.00679177185859	-0.00717890739429	-0.00780821476217	0.208037943341	0.207785917929	0.118785518218	0.421825029964	1.0	0.4508689951	0.454861624694	0.391505968634	0.19154970472
RSS window 10	6	-0.0295694185395	0.0282130027812	-0.0701663318328	0.0540809212227	-0.00771903047084	0.0329874997895	-0.0908753820244	0.0703045613473	-0.00470146626642	-0.0110725221129	-0.0186703336273	-0.35081134474	-0.234677910669	-0.000464573396552	-0.355862496557	-0.442240323738	-0.453532701655	-0.462580670582	-0.464348926747	-0.46682066237	-0.465364503917	-0.463083161205	-0.458104060049	-0.448548535405	-0.437327019484	-0.41789331418	-0.162227450606	-0.151262969069	-0.286002329975	-0.218740777437	-0.2200527964	nan	-0.953311406411	0.307925939245	-0.358941064439	-0.31433757751	-0.233587924483	-0.175813871478	0.133122063148	0.0796534785702	0.0281499239311	-0.00497920125371	-0.00171025191719	-0.00402186174217	-0.00458346594784	-0.00402406750935	0.249151691963	0.117260478675	-0.101221171689	1.0	0.421825029964	0.382861829172	0.310004089823	0.261184093594	0.0647564260556
RSS window 8	7	-0.0337605793354	-0.0508405524641	0.299958651589	-0.23813537266	0.190932534252	-0.0369426926219	0.324670403929	-0.231391712199	0.162457125718	0.0331283388108	0.0314815407136	0.119416964389	0.47515493663	-0.000221369706413	0.607357603836	0.0985201745594	0.57651708843	0.60270242105	0.625810559578	0.638263377871	0.648772352356	0.655121030908	0.661458319251	0.662757773594	0.66095698119	0.654308880138	0.576069572733	-0.194868587938	0.476851453391	0.477737870437	0.426328505782	nan	0.139614089962	0.110079158464	0.0201214644001	0.00610264947642	0.00224147774804	0.00552697967873	-0.316642057596	-0.294844803193	-0.28385866231	-0.0075078081295	-0.00454830580017	-0.00841954871441	-0.0037505526458	-0.00548697239575	0.196220254838	0.678563979352	1.0	-0.101221171689	0.118785518218	0.232640062295	0.326249311085	0.394681549796	0.198793575623
RSS window 6	8	-0.187305847029	-0.0406758779153	0.239914514679	-0.193517672191	0.179914315022	0.00197189805914	0.253308913333	-0.156139443489	0.170527692647	0.0144194565045	0.00445322684989	0.119618750101	-0.114805934048	0.00211489895759	0.289791722672	-0.320521433598	0.0772862439112	0.112540008086	0.147363726381	0.166243538169	0.183017485684	0.193328546054	0.202885685874	0.203641826889	0.200380333392	0.191990408461	0.107087395757	-0.489060656052	-0.196460077216	-0.093675823803	-0.15244135251	nan	-0.0879894563354	0.207921888708	-0.0327487490903	-0.0150464145223	-0.00828397970966	0.000640162639375	-0.374057344739	-0.367615450574	-0.374265483144	-0.0110186945478	-0.00466919789528	-0.0104153509257	-0.00571125381193	-0.00595306924494	0.806608911674	1.0	0.678563979352	0.117260478675	0.207785917929	0.337741454649	0.463909838288	0.563975521216	0.280675844221
persistence5	11	-0.242447395545	0.00952534681429	0.106883449128	-0.0618387530512	0.118209375156	0.0589536886802	0.106687202447	-0.0118328049649	0.131367317871	-0.00182599623564	-0.0129706285472	0.0379487008709	-0.465576146742	0.00551333228316	-0.0561659885899	-0.521341923105	-0.348264449204	-0.317330759544	-0.283087017812	-0.264241284087	-0.24617925512	-0.233583590009	-0.218657370621	-0.212383213448	-0.208725456299	-0.204645081035	-0.397062832738	-0.597385102498	-0.598123035308	-0.560323999764	-0.488690015539	nan	-0.230749103783	0.196131308312	-0.0605404858651	-0.025926752924	-0.012467548855	-0.00313800536661	-0.262258735411	-0.278875587992	-0.304554607849	-0.00986205666122	-0.00388102604705	-0.00965817200316	-0.00752962694602	-0.0059786921237	1.0	0.806608911674	0.196220254838	0.249151691963	0.208037943341	0.303933599279	0.407995598587	0.495991547962	0.244045684799
persistence4	9	-0.00253277973367	-0.00337055454221	-0.0018767361791	-0.000495732366741	-0.00253044098096	-0.00253557146945	0.00129060963927	-0.000919619681181	-0.0019857617653	0.0016400207208	0.002886581214	0.00758058005671	0.00125633405563	-0.0248792303081	0.00158752473741	0.00951435489463	-0.000213250743336	-0.00385236550163	-0.00270414705006	-0.00149906624374	-0.00123641394104	-0.00012753695525	-0.00159298688283	-0.000304379024076	-3.63946661145e-05	-0.000912555311942	0.00553223235201	0.00884928891434	0.00061269471297	0.00689476939795	0.00154358557114	nan	0.00383429552901	-0.00142420246178	0.00862158824721	0.00403025710492	0.00542990546359	-0.00100053121714	-0.00718841628307	-0.00437348207394	-0.000259119343558	0.216602558716	0.378659821314	0.517783790153	0.612803839858	1.0	-0.0059786921237	-0.00595306924494	-0.00548697239575	-0.00402406750935	-0.00780821476217	-0.00515002079802	-0.00654740193825	-0.00158067463566	-0.000580962735553
persistence3	10	-0.00161979134116	-0.000867002905981	-0.00255859934925	0.00223488692799	-0.000709720607384	-0.00158763808907	-0.000723378203414	0.000686351465752	-0.00186050243225	-0.000521068637509	-1.60604780845e-05	0.0081160952172	-0.000893862951352	-0.0248755205182	0.00317673523769	0.0114448798572	0.00245034201029	7.83920519288e-05	0.00119783557468	0.00144644574547	0.00167429610847	0.00165810241971	0.00135901573259	0.00221583737506	0.00184413793294	0.00162216310817	0.0046620739647	0.00719667141267	0.00120497064129	0.00565210081037	-0.00084675607187	nan	0.00422610976866	-0.00057345364004	0.00677897523353	0.00613102551878	0.00322470834923	0.00292477954971	-0.00274535016699	-0.00398049692737	0.000615502882169	0.223618561123	0.40317596899	0.521142510717	1.0	0.612803839858	-0.00752962694602	-0.00571125381193	-0.0037505526458	-0.00458346594784	-0.00717890739429	-0.00770357178772	-0.0062333725802	-0.00556563734125	0.00405675871302
